ID,IsPeaceful,Title,Context,OptA_Text,OptA_Result_Txt,OptA_Result_Data,NextID_A,Condition_A,OptB_Text,OptB_Result_Txt,OptB_Result_Data,NextID_B,Condition_B,Effect_Type
1001,1,铁流,公元75年的春天，汉帝国的战争机器启动了。一万四千双军靴踏在戈壁滩上，发出单调而催眠的轰鸣声。你身处其中，被金属和皮革的气味包裹。这是一种令人陶醉的安全感。只要跟着前面那个人的后脑勺走，就不会出错。你的大脑在说：我们战无不胜。,高唱军歌：融入集体,士气高昂,ADD_RES:belief:10,1002,,沉默观察：审视这片荒原,内心不安,SUB_RES:belief:5,1002,,
1002,1,所谓的西域,太阳像一只恶毒的金色眼睛，死死盯着你的后颈。空气是干的，吸进肺里像是在吞咽粗砂纸。水囊里的水变得温热且带着一股皮骚味。一个新兵在抱怨口渴，破坏了行军的节奏。你的喉咙也在燃烧，那是名为‘干渴’的野兽在试探你的意志。,喝水：安抚肉体,恢复体力,SUB_RES:grain:5,1003,,呵斥新兵：忍耐是美德,磨练意志,ADD_RES:belief:5,1003,,
1003,0,第一次接触,几骑匈奴斥候出现在沙丘顶端。他们看起来瘦小、肮脏，骑着毛发纠结的矮马。这简直是个笑话。面对汉军的方阵，他们就像是试图阻挡战车的螳螂。你甚至不需要拔剑，只需要让弓弩手抬起手臂。这甚至称不上战斗，这只是‘清扫’。,下令齐射：覆盖打击,无损全歼,SUB_RES:grain:5,1004,,发起冲锋：展示武勇,轻微战损,SUB_RES:belief:2|ADD_RES:belief:5,1004,,
1004,1,尸体与口袋,战斗——或者说屠杀——结束了。那几个匈奴斥候像破布娃娃一样躺在沙地上。年轻的士兵们还在兴奋地比划着刚才的射击，老兵们已经开始熟练地翻找尸体的口袋。干肉、生锈的匕首、不知名的护身符。这是战争中最务实的部分。,允许掠夺：这是规矩,获得物资,ADD_RES:grain:10,1005,,严禁私藏：归公,提升军纪,ADD_RES:belief:10,1005,,
1005,0,伊吾的城墙,伊吾卢城就在眼前。在宏大的天山背景下，这座土黄色的城池显得如此渺小、脆弱。它像是一个因为害怕而蜷缩在沙漠里的孩子。窦固将军的命令很简单：‘拿下它。’不需要复杂的战术，不需要奇谋。在绝对的力量面前，战术只是多余的装饰品。,正面强攻：展示力量,破城获胜,SUB_RES:belief:5|ADD_RES:belief:5,1006,,劝降：展示大国威仪,获得贡品,ADD_RES:grain:20,1006,,
1006,1,庆功宴,伊吾城破。美酒被搬了出来，火把照亮了夜空。士兵们大口吃着烤肉，谈论着封侯拜相的梦想。酒精让每个人都变成了英雄。你看着这一切，脑海中的多巴胺受体正在疯狂分泌快乐信号。战争似乎很容易，不是吗？只要走过去，杀几个人，然后喝酒。,加入狂欢：享受当下,士气大振,ADD_RES:belief:20,1007,,保持清醒：检查哨位,防患未然,ADD_RES:belief:5|ADD_RES:armor:5,1007,,
1007,1,窦固的军令,狂欢后的清晨总是带着一丝凉意。中军大帐内，窦固将军的表情严肃得像一块花岗岩。大军要继续西进，或者北上。但他需要有人钉在这里，钉在这个叫做‘金蒲城’的地方，像一颗钉子一样卡在匈奴人的咽喉里。‘假司马耿恭，’他叫了你的名字。,领命：愿为大汉屏障,信念坚定,ADD_RES:belief:20,1008,,犹豫：兵力太少,获得补给,ADD_RES:grain:50,1008,,
1008,1,三百之数,大军拨给你三百人。只有三百人。你站在校场上，看着这些被留下的人。有的人一脸茫然，有的人显得愤愤不平。他们是被大部队‘甩掉’的包袱吗？不，你要把他们变成狼。你需要挑选你的核心班底。资源有限，你只能带走一部分最好的。,挑选精锐老兵,战力提升,ADD_RES:armor:20|SUB_RES:belief:50,1009,,多带粮草辎重,物资充足,ADD_RES:grain:100,1009,,
1009,1,分道扬镳,尘土飞扬。窦固的一万大军拔营了。那如龙般的队伍向着地平线延伸，最终消失在热浪扭曲的空气中。喧嚣离去，死寂降临。风声突然变得很大。你转过身，看着身后的三百人和一座破旧的金蒲城。一种名为‘孤独’的寒意，即使在正午的烈日下也爬上了你的脊梁。,发表演讲：传奇开始,士气提升,ADD_RES:belief:15,1010,,沉默干活：修补城墙,防御提升,ADD_RES:armor:10,1010,,
1010,1,第一夜的安宁,这是你作为金蒲城最高指挥官的第一个夜晚。没有了大军的喧闹，你听到了以前没注意到的声音：远处狼群的嚎叫，城墙缝隙里风的哨音，还有你自己心跳的声音。你检查了库存。一切看起来都很完美。除了那片黑暗深处，似乎有无数双眼睛在盯着你。,枕戈待旦：保持警惕,获得情报,SUB_RES:belief:5,2000,,安然入睡：养精蓄锐,恢复体力,ADD_RES:belief:0,2000,,
2000,0,数学的恐怖,地平线上出现了一条黑线，然后变成了黑潮。不是风沙，是人。匈奴单于派来的两万精锐。你的大脑（那个喜欢计算的理性部分）正在尖叫着给出一个数字：20000除以300。每个人要杀66个。这是一个笑话吗？不，这是一个葬礼的通知单。,发表战前演说：死神牙齿,士气提升,ADD_RES:belief:15,2001,,清点库存：算计恐惧,获得战术,SUB_RES:grain:5,2001,,
2001,0,沸腾的金属,你的副官递给你一支箭簇。上面涂抹着一种来自西域巫医的诡异膏状物。它在空气中嘶嘶作响，仿佛渴望着血肉。这不合礼制，不合兵法。但看着城下如黑潮般的敌军，你脑海中的求生欲正在尖叫：‘去他妈的礼制！’。让他们的血像开水一样滚烫吧。,下令全军涂抹毒药,战术优势,ADD_RES:belief:-5,2002,,拒绝使用：保持汉军威仪,坚守底线,ADD_RES:belief:10,2002,,
2002,0,神明的恶作剧,第一波攻势开始了。匈奴人像蚂蚁一样爬上墙头。然后，毒药开始起效。中箭者的伤口真的在‘沸腾’。惨叫声变成了某种非人类的嘶吼。匈奴人停下了，他们看着手中的伤口，眼神里第一次出现了比杀意更强烈的东西——迷信的恐惧。他们以为这是天罚。,趁乱射击：扩大恐慌,大量杀伤,SUB_RES:grain:10,2003,,静观其变：节省弹药,保留物资,ADD_RES:grain:0,2003,,
2003,1,雨中的喘息,进攻暂停了。天空变成了铅灰色，暴雨如注。雨水冲刷着城墙上的血迹，把一切都染成了肮脏的粉红色。你的士兵们瘫坐在泥水里，有人在呕吐，有人在狂笑。‘那是神迹！’他们指着毒箭造成的尸体说。你必须决定如何解释这一切。,宣称是【汉家神明】助阵,获得狂热,ADD_RES:belief:30,2004,,承认是【毒药】靠自己,获得理智,SUB_RES:belief:10,2004,,
2004,0,暴风雨之夜,夜深了，风雨大作。雷声掩盖了一切动静。这是一个机会，也是一个赌局。匈奴人因为‘天罚’而人心惶惶，此刻正躲在帐篷里躲避风雨。你的战术直觉在耳边低语：‘出去。杀他们一个措手不及。’但这疯狂了，三百人去劫两万人的营？,整顿兵马：准备夜袭,进入夜袭线,ADD_RES:belief:0,2005,belief>150,严防死守：利用风雨修墙,进入固守线,ADD_RES:armor:20,2007,,
2005,0,混乱的营帐,(夜袭)你们像幽灵一样摸进了匈奴大营。雨水掩盖了脚步声。你割开了一个帐篷，里面的匈奴兵正在睡觉。他的脖子就在你眼前，脆弱得像根芦苇。杀戮变得如此简单，简单得让人恶心。这不是战斗，这是屠宰。,悄声暗杀：制造混乱,敌军混乱,ADD_RES:belief:5,2006,,放火烧粮：断其后勤,烧毁物资,ADD_RES:belief:10,2006,,
2006,1,带血的战利品,(夜袭)撤退的号角吹响了。你们满载而归。有的士兵手里提着敌人的头颅，有的抱着抢来的羊腿。雨停了，月亮钻了出来，照亮了这群浑身浴血的疯子。你们活下来了，而且赢了。这种死里逃生的快感比最烈的美酒还要上头。,举办庆功宴：大口吃肉,士气大振,ADD_RES:belief:20,2008,,快速清点：谨防反扑,获得物资,ADD_RES:grain:30,2008,,
2007,1,城墙修补者,(固守)你选择了稳妥。在暴雨中，你带领士兵搬运石块，修补被投石机砸坏的缺口。泥浆混合着稻草，填入了缝隙。这工作枯燥、沉重，没有英雄主义的光环。但每一块砖石都是你给死神设置的障碍。,身先士卒：搬运重物,获得信任,ADD_RES:belief:15,2008,,指导工序：优化结构,防御提升,ADD_RES:armor:20,2008,,
2008,1,寂静的黎明,第二天清晨，金蒲城外空荡荡的。匈奴人退了。不是因为被打败，而是因为不想在一个‘受诅咒’的地方硬啃骨头。地上留下了数千具尸体和一片狼藉的营地。胜利了？不，你的直觉告诉你，这只是暴风雨前的宁静。,派遣探马：侦查去向,获得情报,SUB_RES:grain:5,2009,,抓紧休息：恢复体力,全员休整,ADD_RES:grain:0,2009,,
2009,1,两条路,探子带回了绝望的消息。匈奴人并没有走远，他们在切断退路。而且，金蒲城的水源开始干涸了。摆在你面前的只有两张牌：一张是回伊吾（那里可能还有汉军主力），一张是去疏勒（那里地势险要但更是绝地）。你看着地图，感觉地图上的线条变成了绞索。,思考【撤回伊吾】可能性,死路一条,DAMAGE:100,-1,,思考【转战疏勒】可能性,唯一生路,ADD_RES:belief:5,3000,,GAME_OVER
3000,1,告别金蒲,金蒲城的城门在你身后缓缓关闭。这座城保住了，但也废了。井水枯竭，城墙摇摇欲坠。你最后看了一眼那面残破的汉旗。离开这里不仅仅是战术转移，更像是一场精神上的截肢。士兵们低着头，他们的背影写满了迷茫：我们要去哪里？哪里才是家？,烧毁营房：不留资敌,破釜沉舟,SUB_RES:grain:5|ADD_RES:belief:10,3001,,保留设施：甚至留了封信,仁义之师,ADD_RES:belief:5,3001,,
3001,1,岔路口的梦魇,探马回来了，带回了两份情报。A：伊吾城方向似乎有汉军的炊烟（但这可能是幻觉，也可能是陷阱）。B：疏勒城依山傍水，地势险要，但那里是一座孤岛。你的理智在打架。一个声音说：‘回伊吾吧，那里有热汤。’另一个声音说：‘那是死路，去疏勒。’,前往伊吾：追逐希望,遭遇埋伏全军覆没,DAMAGE:100,-1,,前往疏勒：拥抱绝境,获得地利,ADD_RES:belief:5,3002,,GAME_OVER
